"","Crime.ID","Month","Reported.by","Falls.within","Longitude","Latitude","Location","LSOA.code","LSOA.name","Crime.type","Last.outcome.category","Context"
"19","497e05b7bc27588c029599a5c60ab7a7eae7b4bb0d16d73fc1636b7bcff3bef9","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.11236,52.055105,"On or near B4337","W01000701","Carmarthenshire 001C","Criminal damage and arson","No further action at this time",NA
"36","80d89f42b2fd88e8e42edd1b00b235c850729df6e61dfc72398d953317fd20ae","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.79425,51.996782,"On or near Maesglas","W01000678","Carmarthenshire 002C","Criminal damage and arson","No further action at this time",NA
"43","6a44682f7166ccef7f9472427457ec30067178cc980e9b6ff8f86f390d515eb7","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.796937,51.993683,"On or near King'S Road","W01000679","Carmarthenshire 002D","Criminal damage and arson","No further action at this time",NA
"69","0f575d277c55da942254e6aaad0f75aac377fa2992b4df71902a21c046761b40","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.32275,52.032728,"On or near Tan Y Bryn","W01000688","Carmarthenshire 003B","Criminal damage and arson","Awaiting court outcome",NA
"76","501ac175a48d6af2bd2169aa70f8056caedb856169dfc5ae2aa3290f63273da0","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.398529,52.034509,"On or near B4334","W01000689","Carmarthenshire 003C","Criminal damage and arson","Under investigation",NA
"80","6287f3cc05295eaea48e9f59683b8c26c5755a849d5fbb703597f43865e268c8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.483801,51.91829,"On or near B4299","W01000728","Carmarthenshire 003D","Criminal damage and arson","Under investigation",NA
"87","d64ca7a9cfe2d617fab4fff5581e09c0ffc086990da55181ba73e68af4d8b61b","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.992257,51.8825,"On or near Abbey Terrace","W01000677","Carmarthenshire 004B","Criminal damage and arson","No further action at this time",NA
"106","c0c025aa3e70886cb8fcbf0d8d579043f2d8d707eeced959b6eacaca4caf88e5","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.236709,51.869454,"On or near A40","W01000624","Carmarthenshire 005A","Criminal damage and arson","Under investigation",NA
"125","b16d2906639feb12720ed9c832206109e8318adf8bd6b37ac2807795d9684f34","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.03869,51.859593,"On or near Park/Open Space","W01000684","Carmarthenshire 005D","Criminal damage and arson","Awaiting court outcome",NA
"141","10289a39072dbf90b32c086f220615ad41a0dac0d5d79bd428c87c8ae3bc6a18","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.371475,51.848253,"On or near Petrol Station","W01000644","Carmarthenshire 006B","Criminal damage and arson","Under investigation",NA
"142","1e2b14f641252f3ee5ed71df82b34d0edb1823b9a8f8a2cd720b9cfb997dce96","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.328713,51.858361,"On or near Conference/Exhibition Centre","W01000644","Carmarthenshire 006B","Criminal damage and arson","Under investigation",NA
"163","c047d825d8fa9f1d355a727c862129b206471afd595e59e7465c898896412e39","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.313911,51.85716,"On or near Clos Catrin","W01000645","Carmarthenshire 006C","Criminal damage and arson","Under investigation",NA
"164","78499048f367d6e8a8694cb040e8445c6ce721674a18d38242e39d4bd97297c2","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.313911,51.85716,"On or near Clos Catrin","W01000645","Carmarthenshire 006C","Criminal damage and arson","Under investigation",NA
"166","de84d0732ea1b4dfd04b928aae0210ef9e4825b59a3a22908c4721ce8b706c45","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.277117,51.922238,"On or near B4301","W01000648","Carmarthenshire 006D","Criminal damage and arson","Under investigation",NA
"175","ccfd4d9cd5810f95737d742fbf470b70fa84c7687664c5ef0d8f0a71e2c896a8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.295295,51.862903,"On or near Priory Close","W01000638","Carmarthenshire 007B","Criminal damage and arson","Under investigation",NA
"176","ad4a3bd8cc1cce41410d423f3483527125e90f826475c9e4ae9be32ce2e11092","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.301238,51.862958,"On or near Prosser Close","W01000638","Carmarthenshire 007B","Criminal damage and arson","Under investigation",NA
"186","b3425ac406919925e7b496495ea5a1ec6e77ad10050cf830d4b40eb775c1cce9","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.311763,51.860593,"On or near Parc Bagnall","W01000639","Carmarthenshire 007C","Criminal damage and arson","Under investigation",NA
"187","720f12a3be25588caa496659b6b505a8590744e690c3f6e883b93ce6525bea3f","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.311763,51.860593,"On or near Parc Bagnall","W01000639","Carmarthenshire 007C","Criminal damage and arson","Under investigation",NA
"245","67091726900788cd287a428d20a87ed0be6c7fd3e0939ee3d2b38b854ee1d983","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.30834,51.856425,"On or near Dark Gate","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"246","7ef3fc2499d94c50fb18a77a01cbc1b110ab4a9f229793deecb247ee7b6b0385","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.30834,51.856425,"On or near Dark Gate","W01000641","Carmarthenshire 008A","Criminal damage and arson","Awaiting court outcome",NA
"247","6e3929f0dee363e14f9c8ff818b4d5875b9753f660106f641fd46b433c391566","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.307025,51.858816,"On or near Narn Road","W01000641","Carmarthenshire 008A","Criminal damage and arson","No further action at this time",NA
"248","495e394b190e805d73b5cf8e26b89cf4207b362ea0df720197e8a5993d5b9c24","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.311448,51.856427,"On or near Lammas Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"249","bf1a127a1ab682dbf75c93872198c49b4aa0f05a8b64f6948fe808643d568607","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.303943,51.856781,"On or near Spilman Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"250","6c57b39fe3a9026c5bb481d935c4136d7e09a0ecfed9269dd8395fe5330d9c1b","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.313316,51.853773,"On or near Pothouse Road","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"251","02ca6f3e69ba2fb644debc81e3f649a647d01ea1b6eca9260ff08613cc9505b1","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.311448,51.856427,"On or near Lammas Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"252","199b519c0e46412cb2cb3b2271ffc9a9e183939dfff025d433cc0893778e2323","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.314588,51.854225,"On or near Petrol Station","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"253","3c9d81c13c3cf87f691a50d2facbda0c98058bdc1ced209e16792c3e8633f5c5","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.310569,51.856003,"On or near Parking Area","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"254","94aa0bacad0decbc7310f4bdfa3beb0a80410db029a26cd7f157c84aa23a4101","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.311448,51.856427,"On or near Lammas Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"255","251c3b486d101466965b325be50fa01a5f45904c2b5c26802240f775b84cf85a","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.309993,51.856941,"On or near Mansel Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"256","c299501eadaa2a0808cfa7b0072b791282d82bfaec4925c2e3094dae3612d6e2","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.310036,51.857785,"On or near Morley Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Awaiting court outcome",NA
"257","ad40bfbe9a1fb5dad80796b438fa065d812917a5b6eb7fb3b046de1cb417ee09","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.310569,51.856003,"On or near Parking Area","W01000641","Carmarthenshire 008A","Criminal damage and arson","Awaiting court outcome",NA
"258","28f0a9701bc5fd2827b7352df1804d074da29a06de7fa795f72525465cdfc519","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.305182,51.856298,"On or near Queen Street","W01000641","Carmarthenshire 008A","Criminal damage and arson","Under investigation",NA
"330","54b774c6e12425b212b34ce0cee2f7d77d0f9fe091441de68fb9a83fbd3a8de8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.318167,51.855773,"On or near Picton Terrace","W01000642","Carmarthenshire 008B","Criminal damage and arson","Under investigation",NA
"382","c3b486c9e76661b5d0865d4d4a5448dfe0be5ef2f4bdeabb417663bea77bb872","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.928725,51.806973,"On or near Tabernacle Road","W01000657","Carmarthenshire 010B","Criminal damage and arson","Under investigation",NA
"390","d69f1cba8f7903f90f7c5ac23db504c54d20c9806ef63afb65df8535420e298a","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.925277,51.806409,"On or near Ger Yr Afon","W01000658","Carmarthenshire 010C","Criminal damage and arson","Under investigation",NA
"393","b0dc8f34a9e60e877589da720c5bbeda9202a097409f9cad28b65a9251c449c2","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.863589,51.817034,"On or near Arfryn","W01000718","Carmarthenshire 010D","Criminal damage and arson","Under investigation",NA
"401","741b97c6d3ce684dfc6a8f7bd6b1a6c4e2933980520ada2ef9c6620c9dac6209","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.993824,51.802965,"On or near Clos Yr Afon","W01000680","Carmarthenshire 011A","Criminal damage and arson","No further action at this time",NA
"426","82ad241d5d747771577ea9ba7afa56f114dabdfc1be5e6f5e94a6f1b58f8e896","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.249303,51.762562,"On or near Bro-Hedydd","W01000695","Carmarthenshire 012B","Criminal damage and arson","Awaiting court outcome",NA
"459","a8267180811d6e1f5b6afc1ac1a1970d63ac78feca8c115748567af37aa7aa10","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.990702,51.789403,"On or near Heol-Las","W01000626","Carmarthenshire 013B","Criminal damage and arson","Under investigation",NA
"460","40a20f28e6617522377b9ff4994941643b9d04ea806aab4008a2cfb2fb0ea665","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.994353,51.796562,"On or near Station Road","W01000626","Carmarthenshire 013B","Criminal damage and arson","Awaiting court outcome",NA
"461","33e029a389e4566650a36d5c60d3c546c10528f17beff4a057ce67af3e0ea5ba","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.988724,51.793213,"On or near Stryd Fawr","W01000626","Carmarthenshire 013B","Criminal damage and arson","Offender given penalty notice",NA
"462","5d55428a238233d97c8e7aa762bee7ede7e301e1886cb21a5481c8a38b6b5ef8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.982947,51.791773,"On or near Police Station","W01000626","Carmarthenshire 013B","Criminal damage and arson","Under investigation",NA
"463","81cc6ff2da5b71a3910e06b034af74e8141afc977179369d9163f1a254a96755","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.993292,51.795177,"On or near Talbot Road","W01000626","Carmarthenshire 013B","Criminal damage and arson","No further action at this time",NA
"464","492169592fa5b8cd0d378a45a921bfda8edeb1dc4b11025152681304b553a782","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.993292,51.795177,"On or near Talbot Road","W01000626","Carmarthenshire 013B","Criminal damage and arson","No further action at this time",NA
"465","a4c6a6372307baee67322809a080d103fb4445e2921d39a6c67cfa6cfcc48c2e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.986837,51.79151,"On or near Supermarket","W01000626","Carmarthenshire 013B","Criminal damage and arson","Under investigation",NA
"466","6122d5c08501a78f95de2898b0867f3c085f4ff86b55f999ce87bd9cef1cec78","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.988724,51.793213,"On or near Stryd Fawr","W01000626","Carmarthenshire 013B","Criminal damage and arson","Offender given a caution",NA
"467","1aade8426e5ae318941b1022d1a1f907fb62077ff140d1a53e9f77b3eda0d035","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.985955,51.792244,"On or near Hall Street","W01000626","Carmarthenshire 013B","Criminal damage and arson","Under investigation",NA
"468","8e66a77b7fa90dee87cbc658fb85663d59f9531eac43dc1e44cc3bc6eb7ac39d","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.993292,51.795177,"On or near Talbot Road","W01000626","Carmarthenshire 013B","Criminal damage and arson","Under investigation",NA
"488","ae84bb9e83d7d6fd12ea1dba4ba40bf190f3786fa48dfbb5d258bb02d6956706","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.983654,51.780449,"On or near Parc Penrhiw","W01000627","Carmarthenshire 013C","Criminal damage and arson","No further action at this time",NA
"504","700308de495f8dbd88b095645446d3a74fb7a110275c4b8ab8ba92b8b797ff96","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.990576,51.796401,"On or near Rhodfa Bryn-Mawr","W01000714","Carmarthenshire 013D","Criminal damage and arson","No further action at this time",NA
"505","80263a471bf4713e57be3e9efcfee7588435acd2dc47bf1c3ed0ad853b82ed9e","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.990576,51.796401,"On or near Rhodfa Bryn-Mawr","W01000714","Carmarthenshire 013D","Criminal damage and arson","No further action at this time",NA
"506","c7260b3233a13d766c91b5c29a5f740006d37f77d2bd2989f19a2be43d872eba","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.993249,51.799135,"On or near Stryd Arthur","W01000714","Carmarthenshire 013D","Criminal damage and arson","Under investigation",NA
"507","9aa7f09ec30bcc0d563d85e0ee650a03f6c6388bd2154f05b4ee4f96da3d5680","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.99532,51.796779,"On or near Stryd Harold","W01000714","Carmarthenshire 013D","Criminal damage and arson","No further action at this time",NA
"517","20d44362b4401bd0444dc9f63b4e31e8803d6b2cc2fb0c6fe044ea9b482a3ea8","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.982249,51.794366,"On or near Union Street","W01000715","Carmarthenshire 013E","Criminal damage and arson","Under investigation",NA
"518","14a75a6e96c8aa977724e91b189c1cccfe2635095d48c12fad373e3a936cdc32","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-3.963709,51.796206,"On or near Maesycoed","W01000715","Carmarthenshire 013E","Criminal damage and arson","Under investigation",NA
"606","6f818c724f04e4c680cc4d079caddf81d55710781b4df694ceaa3800e15ad053","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.300198,51.738582,"On or near Ger-Y-Gwendraeth","W01000671","Carmarthenshire 018B","Criminal damage and arson","Under investigation",NA
"607","f3d4a3332a771c81fd028839a20324669bcf4b386da408baefe168d51eaf9446","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.300198,51.738582,"On or near Ger-Y-Gwendraeth","W01000671","Carmarthenshire 018B","Criminal damage and arson","Under investigation",NA
"608","9279a0dd1c6196d8e1491ee2ba9c4489c6bc2bf87f354bd6e5a18a5e8f85908d","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.299048,51.734495,"On or near Supermarket","W01000671","Carmarthenshire 018B","Criminal damage and arson","No further action at this time",NA
"609","d9d1ff3981578d6084db28bbc31e3b3fcc914162a277a286aab7a28c2230d772","2013-12","Dyfed-Powys Police","Dyfed-Powys Police",-4.306315,51.734406,"On or near Petrol Station","W01000671","Carmarthenshire 018B","Criminal damage and arson","Under investigation",NA
